company,address,start_year,end_year,type,lat,lon
Robinson Button Factory,"318 Stewart Rd, Muscatine Iowa",1913,1916,cutting shop,41.398751,-91.063446
Claus Schmarje Button Factory,"318 Stewart Rd, Muscatine Iowa",1916,1927,cutting shop,41.398751,-91.063446
James Button Factory,"320 Stewart Rd, Muscatine, Iowa",1919,1919,cutting shop,41.398751,-91.063446
Dooley & Redmon,"313 Stewart Rd, Muscatine, Iowa",1938,1939,cutting shop,41.398766,-91.063216
Law’s Machine Works,"313 Stewart Rd, Muscatine, Iowa",1949,1954,cutting shop,41.398766,-91.063216
Crow & Gray Button Company,"315 Stewart Rd, Muscatine, Iowa",1913,1913,cutting shop,41.398766,-91.063216
Bohling Button Company,"315 Stewart Rd, Muscatine, Iowa",1956,1956,cutting shop,41.398766,-91.063216
Turkey Ridge Button Company,"Stewart Rd, Muscatine, Iowa",1910,1911,cutting shop,41.398766,-91.063216
Crown Button Factory,"700 Sampson St, Muscatine, Iowa",1919,1919,cutting shop,41.398849,-91.066996
Anchor Button Works,"710 Sampson St, Muscatine, Iowa",1899,1899,cutting shop,41.398849,-91.066996
Crow Button Factory,"714 Sampson St, Muscatine, Iowa",1921,1921,cutting shop,41.398833,-91.067811
Claus Schmarje,"714 Sampson St, Muscatine, Iowa",1923,1934,cutting shop,41.398833,-91.067811
South Muscatine Pearl Button Company,"1300 Nebraska St, Muscatine, Iowa",1904,1904,cutting shop,41.401811,-91.064593
Bosten Button Works,"1214 Nebraska St, Muscatine, Iowa",1902,1903,cutting shop,41.403292,-91.064344
W.W. Richards,"107 Dewey Ave, Muscatine, Iowa",1907,1919,cutting shop,41.402792,-91.063901
Hubbard Brothers,"1204 Kansas St, Muscatine, Iowa",1916,1916,cutting shop,41.403469,-91.065641
Model Button Company,"1216 Kansas St, Muscatine, Iowa",1910,1911,cutting shop,41.402964,-91.065746
E.O. Block,"307 Benham Ave, Muscatine, Iowa",1907,1907,cutting shop,41.403787,-91.063909
Block Button Company,"309/407/408 Benham Ave, Muscatine, Iowa",1908,1924,cutting shop,41.403787,-91.063909
Bosten Button Works,"1113 Oregon St, Muscatine, Iowa",1907,1907,cutting shop,41.403799,-91.063399
Giesler Button Company,"407 Benham Ave, Muscatine, Iowa",1902,1902,cutting shop,41.403787,-91.063909
Leo H. Hirsch & Company,"407 Benham Ave, Muscatine, Iowa",1943,1949,cutting shop,41.403787,-91.063909
Drewes Button Factory,"201 Benham Ave, Muscatine, Iowa",1913,1916,cutting shop,41.403787,-91.063909
Gray Brothers Button Company,"905 Oregon St, Muscatine, Iowa",1938,1941,cutting shop,41.406424,-91.063502
Peter Umlandt,"1011 Grandview Ave, Muscatine, Iowa",1927,1927,cutting shop,41.405594,-91.067895
Charles Schroder,"723 Liberty St, Muscatine, Iowa",Period of operation unknown,,cutting shop,41.409692,-91.064591
